#,xzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
44,北京市,2016-08-01,8,3.5900,3,7.5700,4,13.8800,8,7.8000,0,0.0000,2,1.5600,0,0.0000,0,0.0000
45,北京市,2016-09-01,10,0.8100,4,22.7600,10,55.1800,6,5.0200,0,0.0000,39,10.4700,0,0.0000,0,0.0000
46,北京市,2016-10-01,4,9.7900,15,80.5600,10,31.8900,16,50.1000,0,0.0000,2,6.0300,0,0.0000,0,0.0000
47,北京市,2016-11-01,13,26.2700,17,37.6800,7,37.9700,26,109.4100,0,0.0000,11,59.2000,3,6.2200,0,0.0000
48,北京市,2016-12-01,5,6.3700,3,13.7700,8,59.7100,14,51.4600,0,0.0000,0,0.0000,0,0.0000,0,0.0000
49,福建省,2015-01-01,19,57.7929,32,119.6606,94,208.7517,75,103.3090,5,19.1825,64,981.3854,11,119.9087,0,0.0000
50,福建省,2015-02-01,22,39.9541,70,248.5356,95,126.0018,40,76.3300,1,2.8539,17,566.0004,1,50.3765,0,0.0000
51,福建省,2015-03-01,25,64.4114,73,212.6050,65,210.8160,56,87.1959,6,5.4575,37,1153.5814,1,5.6183,0,0.0000
52,福建省,2015-04-01,48,93.4299,82,217.4512,64,338.3483,92,126.7853,4,9.9373,52,537.1231,1,15.4576,0,0.0000
53,福建省,2015-05-01,20,47.4972,118,395.6131,80,127.9688,69,161.1556,4,5.0320,50,488.9319,0,0.0000,0,0.0000
54,福建省,2015-06-01,57,105.1290,148,514.8702,101,297.3231,86,371.5764,0,0.0000,50,898.6256,13,167.5245,0,0.0000
55,福建省,2015-07-01,43,91.9338,128,420.4877,43,121.2449,91,282.3179,5,3.0858,73,1195.0061,6,61.0984,0,0.0000
56,福建省,2015-08-01,38,102.6428,99,356.6615,71,206.7847,87,181.7421,3,19.9842,47,809.2484,3,8.4380,0,0.0000
57,福建省,2015-09-01,52,140.3079,154,357.8823,68,207.2216,84,146.6333,9,17.0323,47,240.9327,0,0.0000,0,0.0000
58,福建省,2015-10-01,32,33.8646,102,401.2910,51,153.5883,80,81.9844,1,0.1291,22,261.6976,2,9.3358,1,9.0097
59,福建省,2015-11-01,32,81.3269,130,305.8851,62,154.9172,106,243.8377,1,0.1794,46,417.7544,1,26.6943,0,0.0000
60,福建省,2015-12-01,44,107.7427,74,305.3385,90,234.0807,107,151.8199,6,19.1275,58,788.8609,1,17.2382,0,0.0000
61,福建省,2016-01-01,10,19.9500,108,306.6300,49,168.4100,94,199.7200,5,17.2900,107,491.9900,3,170.9800,0,0.0000
62,福建省,2016-02-01,14,12.0000,54,239.3800,23,87.6100,52,2349.3200,1,0.1500,24,133.5800,0,0.0000,0,0.0000
63,福建省,2016-03-01,28,53.3600,95,335.7400,43,161.8400,112,221.2800,6,5.8400,60,789.5500,4,33.4900,0,0.0000
64,福建省,2016-04-01,40,86.4000,104,326.7400,38,101.7000,113,298.2500,1,1.5100,90,860.4800,7,63.8900,1,236.3600
65,福建省,2016-05-01,31,54.6600,135,438.5800,34,94.2600,115,292.7200,7,20.5900,92,828.6600,7,80.3300,0,0.0000
66,福建省,2016-06-01,30,61.3800,71,304.3300,32,105.6100,90,177.5700,5,19.2800,35,270.6600,5,644.9400,1,411.4900
67,福建省,2016-07-01,22,59.3900,100,245.5200,41,105.9800,88,487.7800,3,3.2000,72,624.3400,2,6.7200,0,0.0000
68,福建省,2016-08-01,24,21.5500,114,386.4600,63,175.7400,87,206.3900,2,1.2300,60,638.3300,1,16.5300,0,0.0000
69,福建省,2016-09-01,14,27.9700,91,230.3100,44,180.9900,94,133.1600,3,6.5100,76,880.9600,3,32.8000,0,0.0000
70,福建省,2016-10-01,18,10.7100,62,258.7600,44,177.2400,96,262.2000,4,13.3700,109,782.6900,6,63.4000,0,0.0000
71,福建省,2016-11-01,20,37.5100,70,234.7900,65,152.0200,108,228.7400,10,29.6600,102,1892.6000,10,219.4300,0,0.0000
72,福建省,2016-12-01,21,89.0600,123,514.0700,75,213.1800,151,376.1700,9,27.4400,97,1038.8100,4,39.9000,0,0.0000
73,甘肃省,2015-01-01,43,65.7795,38,146.1667,25,90.6978,36,386.7253,1,53.3333,24,182.8672,2,0.1423,6,291.1036
74,甘肃省,2015-02-01,41,162.8051,38,119.8883,50,211.0719,29,338.1528,0,0.0000,40,360.1083,2,63.4126,0,0.0000
75,甘肃省,2015-03-01,39,82.8206,68,298.5859,66,160.0982,84,1586.2873,1,1.4960,8,631.4948,1,0.0560,0,0.0000
76,甘肃省,2015-04-01,83,217.0625,63,340.3236,77,177.9644,36,32.1209,2,2.4164,4,127.3441,1,0.2639,0,0.0000
77,甘肃省,2015-05-01,42,73.6737,54,359.0618,73,221.9655,57,180.4612,2,1.9881,7,140.1196,0,0.0000,0,0.0000
78,甘肃省,2015-06-01,55,108.5697,93,255.4111,78,137.9444,48,320.6021,0,0.0000,15,142.7790,0,0.0000,0,0.0000
79,甘肃省,2015-07-01,80,106.0739,78,302.0006,85,151.4660,75,3531.1803,3,12.2947,29,475.9388,2,168.7518,0,0.0000
80,甘肃省,2015-08-01,67,116.9477,59,3608.3059,62,106.4425,61,338.9618,4,10.0467,19,359.5634,1,0.2535,0,0.0000
81,甘肃省,2015-09-01,73,236.1111,59,446.7962,88,210.0339,105,689.6668,2,4.0118,19,482.1837,2,4.2925,1,22.3403
82,甘肃省,2015-10-01,39,125.5296,32,175.2347,76,309.6455,94,408.5808,2,31.0201,30,1278.0595,2,249.8639,0,0.0000
83,甘肃省,2015-11-01,64,149.8586,75,666.9199,116,330.8403,84,443.6223,0,0.0000,36,548.3177,4,258.7981,9,400.2248
84,甘肃省,2015-12-01,80,185.7597,58,411.7743,65,141.9507,58,618.8245,1,1.6718,37,1212.8324,1,33.1160,0,0.0000
85,甘肃省,2016-01-01,67,113.2900,81,800.6800,48,128.1900,55,339.0900,1,0.9700,17,550.7400,3,2.9600,0,0.0000
86,甘肃省,2016-02-01,22,43.1900,35,138.4400,31,67.0000,58,204.2800,0,0.0000,16,58.3000,8,35.9900,0,0.0000
87,甘肃省,2016-03-01,97,100.3400,59,189.3800,72,136.4600,52,265.9700,2,5.1600,16,71.2200,1,0.9100,0,0.0000
88,甘肃省,2016-04-01,56,163.8500,83,306.2600,52,142.9400,43,222.5000,1,1.3100,24,294.7500,0,0.0000,0,0.0000
89,甘肃省,2016-05-01,75,130.2700,49,129.2400,51,133.4200,71,392.9000,3,2.7000,15,55.8300,0,0.0000,0,0.0000
90,甘肃省,2016-06-01,69,78.3700,82,513.3100,61,131.1100,50,109.9300,2,0.5900,13,628.5400,1,0.1900,0,0.0000
91,甘肃省,2016-07-01,81,206.0800,65,187.2600,84,160.4000,50,294.4200,4,4.4700,12,118.6600,2,0.2000,0,0.0000
92,甘肃省,2016-08-01,63,33.5500,33,112.8600,57,251.2700,59,1075.6400,1,3.5900,17,48.5100,3,62.2000,0,0.0000
93,甘肃省,2016-09-01,55,159.5100,94,355.3200,46,98.1800,45,182.4800,5,14.4600,14,205.8600,0,0.0000,0,0.0000
94,甘肃省,2016-10-01,25,43.7200,39,556.0900,40,69.9900,48,220.7600,2,2.6000,26,1771.7600,2,23.2300,0,0.0000
95,甘肃省,2016-11-01,83,141.9300,113,867.7200,80,255.2000,57,318.6100,3,9.5800,18,426.3500,0,0.0000,12,56.7900
96,甘肃省,2016-12-01,59,125.1500,94,541.9500,38,101.0300,42,104.2900,0,0.0000,17,434.2600,0,0.0000,2,118.0700
97,广东省,2015-01-01,72,155.0030,87,346.0380,281,446.4354,50,87.7704,1,0.6667,8,140.3899,5,1.0243,0,0.0000
98,广东省,2015-02-01,29,45.1395,59,271.3311,170,129.7807,24,50.2578,0,0.0000,8,15.8524,0,0.0000,0,0.0000
99,广东省,2015-03-01,43,30.4151,117,410.7592,223,273.5416,51,142.5957,3,40.8808,21,117.4928,1,1.8390,0,0.0000
100,广东省,2015-04-01,44,66.7794,145,370.7858,257,388.2172,151,1926.3818,1,6.2618,12,141.0733,0,0.0000,0,0.0000
101,广东省,2015-05-01,80,186.0597,165,748.6838,192,280.2025,53,128.9273,1,0.0529,30,202.5004,1,1.7751,0,0.0000
102,广东省,2015-06-01,44,95.3397,142,616.0837,267,453.1626,57,109.8652,5,24.3491,33,244.0557,1,1.9282,0,0.0000
103,广东省,2015-07-01,62,149.4476,149,578.5810,273,318.9141,83,344.0802,4,14.0840,5,162.3606,1,1.5975,1,0.0367
104,广东省,2015-08-01,47,161.1035,131,481.6749,359,339.0605,78,241.4575,2,24.2869,19,210.7382,0,0.0000,0,0.0000
105,广东省,2015-09-01,62,155.8638,166,3527.8969,334,358.3486,85,238.5453,5,5.0709,42,162.4746,0,0.0000,0,0.0000
106,广东省,2015-10-01,88,173.5838,163,732.0463,276,435.9089,58,128.7758,2,1.8001,19,61.8009,1,27.5661,0,0.0000
107,广东省,2015-11-01,104,121.2848,179,1691.2119,349,748.1640,212,677.5968,5,6.0233,106,746.7604,2,6.1076,0,0.0000
108,广东省,2015-12-01,63,214.5119,171,649.4273,341,524.6030,109,384.4638,4,7.6103,64,285.7783,3,13.1838,4,1.2780
109,广东省,2016-01-01,64,146.0300,116,420.6700,236,370.0700,79,2069.7500,3,2.1400,21,874.5800,0,0.0000,0,0.0000
110,广东省,2016-02-01,31,62.8000,109,405.3200,138,270.2900,36,162.4900,1,1.0900,4,33.9200,0,0.0000,1,0.9600
111,广东省,2016-03-01,43,90.4800,134,508.6000,231,370.5600,100,251.8400,1,0.1000,54,821.1900,2,29.8600,0,0.0000
112,广东省,2016-04-01,71,128.5600,115,417.7600,234,354.9700,110,374.5300,1,6.3300,40,1034.6900,0,0.0000,20,21.1200
113,广东省,2016-05-01,86,130.2400,127,403.4900,551,331.9300,134,352.4600,4,6.3200,69,410.0100,0,0.0000,0,0.0000
114,广东省,2016-06-01,64,165.3600,110,319.2500,246,256.4700,73,182.4700,4,11.4900,105,2206.2300,1,0.8500,1,0.0400
115,广东省,2016-07-01,36,102.9000,159,424.2600,293,347.6300,106,243.9200,2,0.2100,51,659.9700,5,130.4500,2,0.8500
116,广东省,2016-08-01,40,83.6000,97,263.2500,217,231.0900,90,201.4600,7,20.8900,81,580.1300,1,0.0400,0,0.0000
