#,pxzqmc,sxzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
35,安徽省,蚌埠市,2015-11-01,10,54.7900,15,59.5800,4,9.9400,5,8.9100,0,0.0000,1,4.8300,0,0.0000,0,0.0000
36,安徽省,蚌埠市,2015-12-01,11,40.6100,18,93.7500,27,72.6300,14,48.7400,2,0.4700,5,116.3500,0,0.0000,0,0.0000
37,安徽省,蚌埠市,2016-01-01,1,6.6900,0,0.0000,6,15.3900,7,31.9500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
38,安徽省,蚌埠市,2016-02-01,4,1.9500,7,24.4800,32,46.1900,1,17.9200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
39,安徽省,蚌埠市,2016-03-01,3,15.3500,3,6.6300,8,29.1500,3,6.5800,0,0.0000,1,1.0000,0,0.0000,0,0.0000
40,安徽省,蚌埠市,2016-04-01,6,10.8600,10,75.5400,10,28.0500,10,32.8200,0,0.0000,1,1.0500,0,0.0000,0,0.0000
41,安徽省,蚌埠市,2016-05-01,6,11.3400,18,71.7300,9,45.5100,9,69.5000,0,0.0000,6,177.8700,0,0.0000,0,0.0000
42,安徽省,蚌埠市,2016-06-01,9,40.2200,3,5.4800,1,0.5300,7,40.8300,0,0.0000,1,9.3600,0,0.0000,0,0.0000
43,安徽省,蚌埠市,2016-07-01,7,27.5900,13,46.6200,10,51.8000,7,19.0900,0,0.0000,4,17.0100,0,0.0000,0,0.0000
44,安徽省,蚌埠市,2016-08-01,12,32.5600,3,16.8900,12,42.2000,5,54.1800,0,0.0000,1,1.4800,0,0.0000,0,0.0000
45,安徽省,蚌埠市,2016-09-01,9,32.6400,26,78.9300,15,74.0200,3,1.6000,0,0.0000,1,6.0100,0,0.0000,0,0.0000
46,安徽省,蚌埠市,2016-10-01,2,6.6300,4,14.3100,6,21.2500,15,28.2300,0,0.0000,1,95.3600,1,0.5900,0,0.0000
47,安徽省,蚌埠市,2016-11-01,4,2.7800,11,95.4100,20,72.6000,8,57.4200,1,0.8000,15,73.3500,0,0.0000,0,0.0000
48,安徽省,蚌埠市,2016-12-01,4,2.7800,11,95.4100,20,72.6000,8,57.4200,1,0.8000,15,73.3500,0,0.0000,0,0.0000
49,安徽省,亳州市,2015-01-01,0,0.0000,29,116.6200,3,18.8400,1,1.2300,0,0.0000,1,4.9000,0,0.0000,0,0.0000
50,安徽省,亳州市,2015-02-01,2,12.0600,6,20.7500,3,15.4500,2,1.0300,0,0.0000,0,0.0000,0,0.0000,0,0.0000
51,安徽省,亳州市,2015-03-01,2,1.1200,2,8.9000,7,25.6200,6,1.3300,0,0.0000,0,0.0000,0,0.0000,0,0.0000
52,安徽省,亳州市,2015-04-01,1,0.1900,2,14.1000,4,18.2700,3,7.9100,0,0.0000,5,15.4100,0,0.0000,0,0.0000
53,安徽省,亳州市,2015-05-01,11,7.2100,26,49.4400,5,5.9100,15,23.0300,0,0.0000,2,11.5600,1,155.2800,0,0.0000
54,安徽省,亳州市,2015-06-01,0,0.0000,37,104.8200,5,23.1900,42,28.7500,0,0.0000,1,3.3900,0,0.0000,0,0.0000
55,安徽省,亳州市,2015-07-01,9,38.4000,7,31.3700,2,0.8400,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
56,安徽省,亳州市,2015-08-01,12,105.6800,4,21.9400,10,70.2700,5,9.4300,0,0.0000,2,15.0200,5,4.7100,0,0.0000
57,安徽省,亳州市,2015-09-01,16,32.6900,13,37.2900,40,216.5300,1,0.6200,0,0.0000,3,2.0800,0,0.0000,0,0.0000
58,安徽省,亳州市,2015-10-01,4,31.7700,18,56.3200,11,44.5600,3,35.2900,0,0.0000,0,0.0000,0,0.0000,0,0.0000
59,安徽省,亳州市,2015-11-01,2,2.4300,9,19.9300,17,98.2300,6,28.5000,0,0.0000,1,1.0200,0,0.0000,0,0.0000
60,安徽省,亳州市,2015-12-01,11,35.4600,14,30.7200,1,2.3200,33,36.7200,0,0.0000,1,1.2200,0,0.0000,0,0.0000
61,安徽省,亳州市,2016-01-01,17,20.5300,2,13.1400,2,9.5000,1,5.5000,0,0.0000,3,6.3000,0,0.0000,0,0.0000
62,安徽省,亳州市,2016-02-01,4,46.4100,14,125.1800,1,2.3200,5,14.9500,0,0.0000,3,5.4400,0,0.0000,0,0.0000
63,安徽省,亳州市,2016-03-01,5,6.5000,14,23.3800,17,60.7700,21,49.1000,2,14.2500,9,34.3300,0,0.0000,0,0.0000
64,安徽省,亳州市,2016-04-01,3,5.4100,12,96.7000,11,44.2900,5,18.3600,0,0.0000,7,17.7900,0,0.0000,0,0.0000
65,安徽省,亳州市,2016-05-01,15,41.6700,16,72.8900,15,69.5800,5,8.0300,0,0.0000,0,0.0000,0,0.0000,0,0.0000
66,安徽省,亳州市,2016-06-01,10,7.6000,22,79.7500,7,28.0000,1,8.8600,0,0.0000,0,0.0000,0,0.0000,0,0.0000
67,安徽省,亳州市,2016-07-01,9,14.7300,25,69.2400,2,14.8200,4,23.1000,0,0.0000,3,54.6300,0,0.0000,0,0.0000
68,安徽省,亳州市,2016-08-01,6,19.3100,15,100.3700,6,26.6700,7,28.5600,0,0.0000,13,26.6900,0,0.0000,0,0.0000
69,安徽省,亳州市,2016-09-01,7,30.0000,10,21.2000,6,30.3900,5,32.8500,0,0.0000,1,2.8400,0,0.0000,0,0.0000
70,安徽省,亳州市,2016-10-01,21,162.1100,14,57.3800,5,24.4700,12,31.7100,1,4.3900,1,5.3300,0,0.0000,0,0.0000
