OBJECTID,BSM,YSDM,TBYBH,TBBH,DLBM,DLMC,QSXZ,QSDWDM,QSDWMC,ZLDWDM,ZLDWMC,TBMJ,KCDLBM,KCXS,KCMJ,TBDLMJ,GDLX,XZDWKD,TBXHDM,TBXHMC,ZZSXDM,ZZSXMC,GDDB,CZCSXM,SJNF,MSSM,GDPDJB,FRDBS,HDMC,BZ,Shape_Leng,Shape_Area,centroid_x,centroid_y,area
135,360726211000048144,2001010100,,62,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,14198.01,,0.0,0.0,14198.01,,0.0,,,,,0,,2019,0,,0,,,722.228742928,14205.524458,38646417.52015074,2776491.374460588,14205.524458013604
137,360726211000048146,2001010100,,37,1104,坑塘水面,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,4735.23,,0.0,0.0,4735.23,,0.0,,,,,0,,2019,0,,0,,,481.591240482,4737.69284114,38645198.83378376,2777602.328851537,4737.692841139036
138,360726211000048147,2001010100,,63,0201,果园,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,12380.77,,0.0,0.0,12380.77,,0.0,,,,,0,,2019,0,,0,,,529.993065526,12387.4461374,38647816.05824459,2777623.83974701,12387.44613740758
139,360726211000048148,2001010100,,11,0201,果园,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,19489.5,,0.0,0.0,19489.5,,0.0,,,,,0,,2019,0,,0,,,548.458110142,19499.229869,38642216.16830401,2777603.47184852,19499.22986897809
140,360726211000048149,2001010100,,38,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,4358.83,,0.0,0.0,4358.83,,0.0,,,,,0,,2019,0,,0,,,275.259626929,4361.08812887,38644919.93204682,2777766.201309783,4361.088128870386
141,360726211000048150,2001010100,,39,0307,其他林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,1319.26,,0.0,0.0,1319.26,,0.0,,,,,0,,2019,0,,0,,,194.739866878,1319.95003616,38645190.84678193,2777785.620874553,1319.9500361618777
142,360726211000048151,2001010100,,40,0307,其他林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,1072.46,,0.0,0.0,1072.46,,0.0,,,,,0,,2019,0,,0,,,187.814076053,1073.01640436,38645304.36342445,2777802.140006839,1073.0164043630914
143,360726211000048152,2001010100,,41,1107,沟渠,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,7527.08,,0.0,0.0,7527.08,,6.09999990463,,,,,0,,2019,0,,0,,,2316.03174823,7530.99582199,38645222.36873454,2778444.562616302,7530.995821990588
144,360726211000048153,2001010100,,42,0101,水田,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,2874.02,1203.0,0.1192,342.58,2531.44,TT,0.0,,,LS,种植粮食作物,0,,2019,0,4.0,0,,,412.486825222,2875.48180873,38643288.16720694,2778509.9959078096,2875.481808733736
145,360726211000048154,2001010100,,43,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,6362.59,,0.0,0.0,6362.59,,0.0,,,,,0,,2019,0,,0,,,552.613636298,6365.95584528,38646324.3676269,2778504.82033269,6365.955845279589
146,360726211000048155,2001010100,,12,1104,坑塘水面,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,2838.64,,0.0,0.0,2838.64,,0.0,,,GCHF,工程恢复,0,,2019,0,,0,,,220.141589265,2840.04260403,38641469.391212985,2778528.4853826067,2840.0426040314255
147,360726211000048157,2001010100,,13,1006,农村道路,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,744.21,,0.0,0.0,744.21,,6.80000019073,,,,,0,,2019,0,,0,,,291.442408579,744.574002561,38641063.874163255,2778735.1879405333,744.5740025613593
148,360726211000048158,2001010100,,9,0307,其他林地,30,3607261002120000000,欣山镇碛角村,3607261002120000000,欣山镇碛角村,13664.09,,0.0,0.0,13664.09,,0.0,,,,,0,,2019,0,,0,,,748.785764439,13670.575366,38638637.42809595,2778790.770676494,13670.575366046074
149,360726211000048159,2001010100,,14,1006,农村道路,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,3556.2,,0.0,0.0,3556.2,,4.5,,,,,0,,2019,0,,0,,,1243.83297546,3557.97452008,38642167.86076326,2778619.471853795,3557.974520083759
150,360726211000048160,2001010100,,44,0101,水田,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,2915.26,1203.0,0.1004,292.69,2622.57,TT,0.0,,,LS,种植粮食作物,0,,2019,0,3.0,0,,,387.020974525,2916.78463115,38645780.400679015,2778699.214778792,2916.784631152619
151,360726211000048161,2001010100,,22,0201,果园,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,19594.24,,0.0,0.0,19594.24,,0.0,,,,,0,,2019,0,,0,,,565.419024771,19603.8212742,38640705.99313312,2778683.144991916,19603.821274161084
153,360726211000048163,2001010100,,46,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,10115.41,,0.0,0.0,10115.41,,0.0,,,,,0,,2019,0,,0,,,553.288374902,10120.7662388,38646448.34055727,2778822.0368589484,10120.76623876142
154,360726211000048164,2001010100,,47,0302,竹林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,1602.36,,0.0,0.0,1602.36,,0.0,,,,,0,,2019,0,,0,,,174.72944065,1603.17396244,38643525.4385237,2778845.0634361957,1603.1739624367492
155,360726211000048165,2001010100,,2,0307,其他林地,10,3607261002250000000,欣山镇城南社区,3607261002250000000,欣山镇城南社区,2285.21,,0.0,0.0,2285.21,,0.0,,,,,0,,2019,0,,0,,,221.44735125,2286.33492102,38641022.93142364,2778849.3804546595,2286.3349210217493
156,360726211000048166,2001010100,,48,0103,旱地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,1049.97,1203.0,0.06,63.0,986.97,PD,0.0,,,FLS,种植非粮食作,0,,2019,0,2.0,0,,,195.738287423,1050.50234257,38643482.49054185,2778845.637772755,1050.5023425743648
157,360726211000048167,2001010100,,15,1006,农村道路,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,2699.78,,0.0,0.0,2699.78,,3.5,,,,,0,,2019,0,,0,,,1359.31320864,2701.1342145,38642272.730171114,2779583.643653993,2701.134214499361
